,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
312,Camacari,BR,-12.6975,-38.3242,85.77,61,26,7.27,scattered clouds
313,Richards Bay,ZA,-28.783,32.0377,66.04,88,4,4.16,clear sky
314,Uyuni,BO,-20.4597,-66.825,54.09,15,0,19.62,clear sky
315,Hirara,JP,24.8,125.2833,69.21,78,100,23.53,moderate rain
316,Wahpeton,US,46.2652,-96.6059,38.12,81,100,19.57,overcast clouds
317,Aksu,CN,41.1231,80.2644,71.46,16,58,3.24,broken clouds
318,Kruisfontein,ZA,-34.0033,24.7314,70.88,67,91,7.36,overcast clouds
319,Ketchikan,US,55.3422,-131.6461,45.07,93,100,4.61,overcast clouds
320,Shimoda,JP,34.6667,138.95,51.1,56,67,16.02,broken clouds
321,Saint-Paul,RE,-21.0096,55.2707,75.31,84,8,4.56,light rain
322,Warwick,US,41.7001,-71.4162,57.88,65,100,5.75,overcast clouds
323,Deputatskiy,RU,69.3,139.9,15.12,98,100,2.93,overcast clouds
324,Saint-Philippe,RE,-21.3585,55.7679,74.79,81,14,6.29,few clouds
325,Saskylakh,RU,71.9167,114.0833,3.81,90,31,7.05,scattered clouds
326,Leningradskiy,RU,69.3833,178.4167,3.07,92,100,2.39,overcast clouds
327,Kaeo,NZ,-35.1,173.7833,58.51,87,99,5.37,overcast clouds
328,Namatanai,PG,-3.6667,152.4333,79.57,82,99,3.13,light rain
329,Port-Gentil,GA,-0.7193,8.7815,81.45,76,99,9.17,overcast clouds
330,Mikhaylovka,RU,50.06,43.2379,55.71,47,79,5.3,broken clouds
331,San Isidro,PE,-12.1167,-77.05,65.79,77,0,9.22,clear sky
332,Jiazi,CN,22.8779,116.067,64.71,85,100,9.71,overcast clouds
333,Turukhansk,RU,65.8167,87.9833,26.44,85,63,7.76,broken clouds
334,Waipawa,NZ,-41.4122,175.5153,55.0,90,97,4.38,overcast clouds
335,Dorchester,US,33.1002,-80.3831,83.98,65,20,4.61,few clouds
336,Golden,US,39.7555,-105.2211,41.02,94,100,14.97,overcast clouds
337,Padang,ID,-0.9492,100.3543,77.05,87,100,6.02,overcast clouds
338,Andenes,NO,69.3143,16.1194,33.78,75,75,24.16,broken clouds
339,Las Cruces,US,32.3123,-106.7783,76.05,18,0,20.71,clear sky
340,Vangaindrano,MG,-23.35,47.6,70.79,80,10,7.4,clear sky
341,Dunedin,NZ,-45.8742,170.5036,54.81,88,41,3.62,scattered clouds
342,Borogontsy,RU,62.6683,131.1683,22.6,85,100,7.87,overcast clouds
343,La Trinidad,PH,16.455,120.5875,63.45,87,76,2.75,broken clouds
344,Onalaska,US,43.8844,-91.2351,48.27,74,100,9.22,overcast clouds
345,Sumbe,AO,-11.2061,13.8437,80.06,80,20,5.64,few clouds
346,Fayetteville,US,35.0527,-78.8784,82.6,66,20,11.5,few clouds
